ra,dec,z,petroMag_r
143.83569,1.0992511,0.07704258,17.86636
202.07957,1.3226989,0.07700759,17.65219
202.04862,1.2888179,0.1132125,17.43963
201.75652,1.3391907,0.07689776,17.61269
206.6311,-0.46197097,0.07663928,16.08803
185.53654,1.3703174,0.07695536,17.71798
185.36339,1.3586462,0.07653479,17.43807
181.91166,1.3306949,0.07650618,17.71371
206.73207,-1.0420121,0.07644717,17.44488
174.38615,1.2808782,0.07647395,16.23813
173.92666,1.3265318,0.07635847,17.65353
159.73632,1.0251065,0.113869,17.10561
150.03499,0.9847942,0.03182067,16.10798
232.15652,1.49564,0.1140465,16.2907
237.07274,0.95954811,0.1132975,16.45011
232.66845,1.1009377,0.1136314,16.40543
232.58269,1.1978604,0.1131916,17.1753
232.22156,1.2581251,0.1140578,17.61372
230.49271,1.3012446,0.1135283,17.06506
229.9165,1.3100522,0.1139282,17.43647
229.87025,1.3508353,0.1137679,17.26205
229.82373,1.153109,0.1140246,17.24003
229.49489,1.3137014,0.1140219,17.37642
217.74783,1.2556172,0.03220992,18.89755
217.60052,1.1454415,0.1134476,17.20388
195.40886,1.4974598,0.07638253,17.69386
156.66742,1.296825,0.0317587,15.8992
155.48927,1.2763198,0.1138435,17.76097
205.45888,0.34505934,0.07671338,15.80224
205.4109,0.31797941,0.07657442,15.679
208.3897,-0.0031715052,0.1137347,17.57607
205.94433,-0.16266151,0.07665189,17.65818
200.02637,0.26364812,0.03097225,16.30972
199.79703,0.39840202,0.1132099,17.19213
199.58863,0.41133612,0.07690832,17.18052
199.558,0.21941433,0.03205812,16.96818
199.53889,0.22281604,0.03149121,15.69385
212.20047,0.81203908,0.1133728,16.88629
147.99765,0.45431067,0.07641787,17.21063
137.31654,0.033279294,0.07645445,17.60075
136.03452,0.18181831,0.07668339,17.29158
132.76907,0.17408157,0.07686906,17.38376
143.27267,-0.22831415,0.07679314,17.40886
142.79727,-0.41168806,0.07637259,17.71628
178.48078,-1.4666622,0.07693128,16.08771
178.68894,-1.4296564,0.07704803,16.17835
175.97819,-1.2612916,0.07667973,16.64489
189.31987,1.2219364,0.07686786,16.89027
170.21653,-1.2291845,0.07657831,17.71392
182.39666,1.1311658,0.07653383,16.18048
175.07727,1.0761133,0.07695858,16.68578
169.23545,1.0901334,0.1138239,17.12434
218.50934,0.65600309,0.03126918,16.04846
214.54313,0.7486471,0.1132414,17.25942
203.05253,0.67300598,0.1139995,17.45752
188.27518,0.77834498,0.03120707,15.29831
179.24127,0.71169921,0.07653059,17.64579
168.93958,0.69297527,0.1136456,17.44526
168.85763,0.63545411,0.07685738,17.62324
164.5391,0.76515983,0.07700895,16.36005
156.80853,0.81874291,0.03168469,16.52329
166.67935,-0.82972701,0.03133994,20.58985
232.12801,0.29449574,0.1136046,18.90202
231.79742,0.22328824,0.1140431,17.19318
177.88065,-0.63935585,0.076934,17.21746
180.25809,-0.67661764,0.07671086,17.66476
225.0534,0.33976541,0.03122913,17.62784
209.27892,0.410257,0.03177116,16.63108
188.26716,0.31954106,0.03140663,17.73143
180.18847,0.23123731,0.07669608,17.17966
179.96564,0.26537256,0.07670525,17.23646
179.5968,0.40757884,0.07684836,17.45097
164.51893,0.39668469,0.07704163,16.48625
164.44031,0.410496,0.07692224,17.9675
163.64468,0.34364698,0.07665615,16.76732
166.40821,-0.21745081,0.03192908,14.8165
161.51139,0.39850436,0.07673677,17.8532
158.53182,0.38130375,0.03219977,17.71303
130.70033,0.36830055,0.07666477,17.85041
168.8123,-0.39123593,0.07647002,17.87455
235.20804,-0.15040543,0.07676539,17.76165
224.88436,-0.013246328,0.03122634,16.2648
173.69011,-0.31386032,0.07664118,16.96064
174.39887,-0.1989729,0.0763794,17.09859
164.78232,-0.062999195,0.07651239,16.48676
162.31974,-0.056661675,0.07633966,17.41419
161.67145,-0.048640853,0.07691381,15.71403
160.06589,-0.20472198,0.1139066,17.65309
143.43807,-0.20190664,0.07689177,16.60766
230.03787,-0.5825676,0.1139796,17.57305
229.86196,-0.57600793,0.07663593,17.77661
216.24269,-0.60795893,0.03102892,17.68264
196.47096,-0.45770311,0.03100949,17.16951
181.81359,-0.38569588,0.1133478,17.71508
186.94056,-0.53440219,0.1138954,17.6366
181.81653,-0.38537253,0.1138095,19.72241
167.905,0.0288462,0.07648107,20.80184
168.85136,-0.43399357,0.07670894,18.41582
162.01768,-0.57642618,0.07662232,17.01853
161.59879,-0.55014451,0.07696021,16.7156
168.82289,0.12877413,0.1136343,17.06839
159.34489,-0.51347781,0.1139037,17.25411
158.46399,-0.56135194,0.03133979,14.31161
158.06932,-0.46452766,0.03112193,17.60698
169.00008,0.15835576,0.07677209,17.53369
214.10163,-0.9356814,0.07657462,17.33696
213.03389,-1.0049936,0.07704814,17.00766
169.42984,0.047115833,0.07671343,17.22037
200.18947,-0.9541082,0.1138715,16.78066
174.62937,0.20239351,0.1136385,17.79363
180.18942,-0.86273644,0.0765324,17.63547
179.27646,-0.97721155,0.07698749,15.29644
174.85539,-0.98036633,0.07702852,17.58054
174.11551,-0.85290343,0.07667944,17.80069
174.10587,-0.9913452,0.07701109,17.72471
173.84076,-0.99918667,0.076873,16.43785
168.15367,-0.87438494,0.1138166,17.32441
155.19844,-0.96180146,0.07665972,17.79808
248.21193,1.0349513,0.03140147,17.58696
247.60356,0.965932,0.11384,17.05117
242.46648,0.84912541,0.03130834,16.45465
239.52378,1.0421597,0.03177469,16.21269
230.11075,0.89851275,0.1136317,16.91705
226.60612,0.9291267,0.0320456,15.59863
211.36384,1.0454017,0.1133451,17.08373
200.93818,1.0468149,0.1140024,17.39608
189.25657,0.91713881,0.07649778,16.27946
188.876,0.93506612,0.1131851,17.80505
185.67566,0.94027122,0.1132658,16.30033
248.82038,0.50935511,0.03196613,16.74687
230.79854,0.48118068,0.07631979,18.36682
230.61676,0.61524816,0.07637282,17.13068
218.14442,0.45551941,0.03105887,16.53148
211.96961,0.45176775,0.07658694,17.86065
211.88746,0.63092942,0.1134959,17.11664
211.55415,0.45976606,0.07684872,16.84805
206.16468,0.5128348,0.07704341,17.05136
203.53509,0.47788447,0.07668029,16.50781
203.49889,0.42989018,0.1132089,17.55507
193.42039,0.50788464,0.07656063,15.64269
187.20484,0.54222332,0.03096369,16.17832
247.64145,0.061486143,0.1132718,17.57376
242.22591,0.010947683,0.03189712,16.36281
241.81792,0.025566213,0.03157403,15.67505
240.29272,0.045387196,0.03171449,17.67751
239.84325,0.11795192,0.03229691,16.93087
229.21533,-1.0879184,0.1171143,16.95927
229.22435,-1.0850775,0.1175989,16.15472
229.24198,-1.1107805,0.1168575,15.77278
229.6035,-1.097371,0.1176447,17.55104
239.59622,-0.80733491,0.1167837,17.04859
228.03485,-0.34010534,0.1170873,17.82732
186.91826,0.069184779,0.1167559,17.35745
188.76565,0.10844676,0.08034749,16.94277
189.29001,0.90148813,0.08040059,16.04243
179.99844,-0.46415233,0.0803973,17.07069
180.02047,-0.43098305,0.08026797,16.81888
180.02339,-0.49531699,0.08050773,15.57759
